# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:40:56
# parameter: seed = 2
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      26.549,     3,Finish(1),before,   1,   0,   0,   1,   0
      26.549,     3,Finish(1), after,   2,   0,   0,   0,   1
      48.670,     2,  Arrival,before,   1,   0,   0,   0,   1
      48.670,     2,  Arrival, after,   3,   0,   0,   1,   1
      70.086,     6,Finish(1),before,   2,   0,   0,   1,   1
      70.086,     6,Finish(1), after,   2,   0,   1,   0,   1
     110.945,     4,Finish(2),before,   1,   0,   1,   0,   1
     110.945,     4,Finish(2), after,   2,   0,   0,   0,   1
     123.729,     5,  Arrival,before,   1,   0,   0,   0,   1
     123.729,     5,  Arrival, after,   3,   0,   0,   1,   1
     133.298,     7,Finish(2),before,   2,   0,   0,   1,   1
     133.298,     7,Finish(2), after,   2,   0,   0,   1,   0
     155.207,     9,Finish(1),before,   1,   0,   0,   1,   0
     155.207,     9,Finish(1), after,   2,   0,   0,   0,   1
     185.707,    10,Finish(2),before,   1,   0,   0,   0,   1
     185.707,    10,Finish(2), after,   1,   0,   0,   0,   0
     210.793,     8,  Arrival,before,   0,   0,   0,   0,   0
     210.793,     8,  Arrival, after,   2,   0,   0,   1,   0
     220.964,    11,  Arrival,before,   1,   0,   0,   1,   0
     220.964,    11,  Arrival, after,   2,   1,   0,   1,   0
     231.503,    12,Finish(1),before,   1,   1,   0,   1,   0
     231.503,    12,Finish(1), after,   3,   0,   0,   1,   1
     252.937,    15,Finish(1),before,   2,   0,   0,   1,   1
     252.937,    15,Finish(1), after,   2,   0,   1,   0,   1
     265.002,    14,Finish(2),before,   1,   0,   1,   0,   1
     265.002,    14,Finish(2), after,   2,   0,   0,   0,   1
     275.261,    16,Finish(2),before,   1,   0,   0,   0,   1
     275.261,    16,Finish(2), after,   1,   0,   0,   0,   0
     483.114,    13,  Arrival,before,   0,   0,   0,   0,   0
     483.114,    13,  Arrival, after,   2,   0,   0,   1,   0
     511.025,    18,Finish(1),before,   1,   0,   0,   1,   0
