# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:04
# parameter: seed = 59
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      25.430,     2,  Arrival,before,   1,   0,   0,   1,   0
      25.430,     2,  Arrival, after,   2,   1,   0,   1,   0
      26.054,     3,Finish(1),before,   1,   1,   0,   1,   0
      26.054,     3,Finish(1), after,   3,   0,   0,   1,   1
      28.340,     4,  Arrival,before,   2,   0,   0,   1,   1
      28.340,     4,  Arrival, after,   3,   1,   0,   1,   1
      31.720,     5,Finish(2),before,   2,   1,   0,   1,   1
      31.720,     5,Finish(2), after,   2,   1,   0,   1,   0
      45.972,     6,Finish(1),before,   1,   1,   0,   1,   0
      45.972,     6,Finish(1), after,   3,   0,   0,   1,   1
      50.985,     8,Finish(2),before,   2,   0,   0,   1,   1
      50.985,     8,Finish(2), after,   2,   0,   0,   1,   0
      77.531,     9,Finish(1),before,   1,   0,   0,   1,   0
      77.531,     9,Finish(1), after,   2,   0,   0,   0,   1
      85.418,    10,Finish(2),before,   1,   0,   0,   0,   1
      85.418,    10,Finish(2), after,   1,   0,   0,   0,   0
     346.089,     7,  Arrival,before,   0,   0,   0,   0,   0
     346.089,     7,  Arrival, after,   2,   0,   0,   1,   0
     360.683,    11,  Arrival,before,   1,   0,   0,   1,   0
     360.683,    11,  Arrival, after,   2,   1,   0,   1,   0
     374.501,    12,Finish(1),before,   1,   1,   0,   1,   0
     374.501,    12,Finish(1), after,   3,   0,   0,   1,   1
     392.384,    15,Finish(1),before,   2,   0,   0,   1,   1
     392.384,    15,Finish(1), after,   2,   0,   1,   0,   1
     439.343,    13,  Arrival,before,   1,   0,   1,   0,   1
     439.343,    13,  Arrival, after,   3,   0,   1,   1,   1
     444.565,    16,  Arrival,before,   2,   0,   1,   1,   1
     444.565,    16,  Arrival, after,   3,   1,   1,   1,   1
     457.788,    17,Finish(1),before,   2,   1,   1,   1,   1
     457.788,    17,Finish(1), after,   3,   0,   2,   1,   1
     462.214,    18,  Arrival,before,   2,   0,   2,   1,   1
