# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:04
# parameter: seed = 58
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      24.807,     3,Finish(1),before,   1,   0,   0,   1,   0
      24.807,     3,Finish(1), after,   2,   0,   0,   0,   1
     122.738,     2,  Arrival,before,   1,   0,   0,   0,   1
     122.738,     2,  Arrival, after,   3,   0,   0,   1,   1
     144.294,     6,Finish(1),before,   2,   0,   0,   1,   1
     144.294,     6,Finish(1), after,   2,   0,   1,   0,   1
     161.792,     5,  Arrival,before,   1,   0,   1,   0,   1
     161.792,     5,  Arrival, after,   3,   0,   1,   1,   1
     161.868,     4,Finish(2),before,   2,   0,   1,   1,   1
     161.868,     4,Finish(2), after,   3,   0,   0,   1,   1
     177.573,     8,Finish(1),before,   2,   0,   0,   1,   1
     177.573,     8,Finish(1), after,   2,   0,   1,   0,   1
     190.588,     7,  Arrival,before,   1,   0,   1,   0,   1
     190.588,     7,  Arrival, after,   3,   0,   1,   1,   1
     212.342,    11,Finish(1),before,   2,   0,   1,   1,   1
     212.342,    11,Finish(1), after,   2,   0,   2,   0,   1
     222.965,     9,Finish(2),before,   1,   0,   2,   0,   1
     222.965,     9,Finish(2), after,   2,   0,   1,   0,   1
     336.934,    10,  Arrival,before,   1,   0,   1,   0,   1
     336.934,    10,  Arrival, after,   3,   0,   1,   1,   1
     345.865,    12,Finish(2),before,   2,   0,   1,   1,   1
     345.865,    12,Finish(2), after,   3,   0,   0,   1,   1
     352.873,    14,Finish(1),before,   2,   0,   0,   1,   1
     352.873,    14,Finish(1), after,   2,   0,   1,   0,   1
     354.119,    15,Finish(2),before,   1,   0,   1,   0,   1
     354.119,    15,Finish(2), after,   2,   0,   0,   0,   1
     366.310,    13,  Arrival,before,   1,   0,   0,   0,   1
     366.310,    13,  Arrival, after,   3,   0,   0,   1,   1
     390.789,    18,Finish(1),before,   2,   0,   0,   1,   1
     390.789,    18,Finish(1), after,   2,   0,   1,   0,   1
     465.057,    17,  Arrival,before,   1,   0,   1,   0,   1
