# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:40:59
# parameter: seed = 21
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       1.486,     2,  Arrival,before,   1,   0,   0,   1,   0
       1.486,     2,  Arrival, after,   2,   1,   0,   1,   0
      16.879,     4,  Arrival,before,   1,   1,   0,   1,   0
      16.879,     4,  Arrival, after,   2,   2,   0,   1,   0
      17.615,     3,Finish(1),before,   1,   2,   0,   1,   0
      17.615,     3,Finish(1), after,   3,   1,   0,   1,   1
      21.378,     5,  Arrival,before,   2,   1,   0,   1,   1
      21.378,     5,  Arrival, after,   3,   2,   0,   1,   1
      37.043,     7,Finish(1),before,   2,   2,   0,   1,   1
      37.043,     7,Finish(1), after,   3,   1,   1,   1,   1
      57.547,     9,Finish(1),before,   2,   1,   1,   1,   1
      57.547,     9,Finish(1), after,   3,   0,   2,   1,   1
      65.381,     6,Finish(2),before,   2,   0,   2,   1,   1
      65.381,     6,Finish(2), after,   3,   0,   1,   1,   1
      72.031,    11,Finish(2),before,   2,   0,   1,   1,   1
      72.031,    11,Finish(2), after,   3,   0,   0,   1,   1
      77.833,    10,Finish(1),before,   2,   0,   0,   1,   1
      77.833,    10,Finish(1), after,   2,   0,   1,   0,   1
     149.302,     8,  Arrival,before,   1,   0,   1,   0,   1
     149.302,     8,  Arrival, after,   3,   0,   1,   1,   1
     173.973,    13,  Arrival,before,   2,   0,   1,   1,   1
     173.973,    13,  Arrival, after,   3,   1,   1,   1,   1
     177.333,    14,Finish(1),before,   2,   1,   1,   1,   1
     177.333,    14,Finish(1), after,   3,   0,   2,   1,   1
     198.206,    16,Finish(1),before,   2,   0,   2,   1,   1
     198.206,    16,Finish(1), after,   2,   0,   3,   0,   1
     209.375,    15,  Arrival,before,   1,   0,   3,   0,   1
     209.375,    15,  Arrival, after,   3,   0,   3,   1,   1
     214.082,    12,Finish(2),before,   2,   0,   3,   1,   1
     214.082,    12,Finish(2), after,   3,   0,   2,   1,   1
     234.910,    18,Finish(1),before,   2,   0,   2,   1,   1
