# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:40:59
# parameter: seed = 17
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      28.996,     3,Finish(1),before,   1,   0,   0,   1,   0
      28.996,     3,Finish(1), after,   2,   0,   0,   0,   1
      72.704,     4,Finish(2),before,   1,   0,   0,   0,   1
      72.704,     4,Finish(2), after,   1,   0,   0,   0,   0
      78.034,     2,  Arrival,before,   0,   0,   0,   0,   0
      78.034,     2,  Arrival, after,   2,   0,   0,   1,   0
     104.146,     5,  Arrival,before,   1,   0,   0,   1,   0
     104.146,     5,  Arrival, after,   2,   1,   0,   1,   0
     108.158,     6,Finish(1),before,   1,   1,   0,   1,   0
     108.158,     6,Finish(1), after,   3,   0,   0,   1,   1
     137.597,     9,Finish(1),before,   2,   0,   0,   1,   1
     137.597,     9,Finish(1), after,   2,   0,   1,   0,   1
     216.998,     8,Finish(2),before,   1,   0,   1,   0,   1
     216.998,     8,Finish(2), after,   2,   0,   0,   0,   1
     225.361,    10,Finish(2),before,   1,   0,   0,   0,   1
     225.361,    10,Finish(2), after,   1,   0,   0,   0,   0
     240.969,     7,  Arrival,before,   0,   0,   0,   0,   0
     240.969,     7,  Arrival, after,   2,   0,   0,   1,   0
     266.092,    12,Finish(1),before,   1,   0,   0,   1,   0
     266.092,    12,Finish(1), after,   2,   0,   0,   0,   1
     308.098,    13,Finish(2),before,   1,   0,   0,   0,   1
     308.098,    13,Finish(2), after,   1,   0,   0,   0,   0
     323.871,    11,  Arrival,before,   0,   0,   0,   0,   0
     323.871,    11,  Arrival, after,   2,   0,   0,   1,   0
     342.473,    15,Finish(1),before,   1,   0,   0,   1,   0
     342.473,    15,Finish(1), after,   2,   0,   0,   0,   1
     378.085,    16,Finish(2),before,   1,   0,   0,   0,   1
     378.085,    16,Finish(2), after,   1,   0,   0,   0,   0
     388.002,    14,  Arrival,before,   0,   0,   0,   0,   0
     388.002,    14,  Arrival, after,   2,   0,   0,   1,   0
     421.769,    18,Finish(1),before,   1,   0,   0,   1,   0
