# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:05
# parameter: seed = 62
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      21.590,     2,  Arrival,before,   1,   0,   0,   1,   0
      21.590,     2,  Arrival, after,   2,   1,   0,   1,   0
      27.452,     3,Finish(1),before,   1,   1,   0,   1,   0
      27.452,     3,Finish(1), after,   3,   0,   0,   1,   1
      58.413,     6,Finish(1),before,   2,   0,   0,   1,   1
      58.413,     6,Finish(1), after,   2,   0,   1,   0,   1
      68.844,     4,  Arrival,before,   1,   0,   1,   0,   1
      68.844,     4,  Arrival, after,   3,   0,   1,   1,   1
      98.115,     8,Finish(1),before,   2,   0,   1,   1,   1
      98.115,     8,Finish(1), after,   2,   0,   2,   0,   1
     118.834,     5,Finish(2),before,   1,   0,   2,   0,   1
     118.834,     5,Finish(2), after,   2,   0,   1,   0,   1
     138.381,     9,Finish(2),before,   1,   0,   1,   0,   1
     138.381,     9,Finish(2), after,   2,   0,   0,   0,   1
     144.468,     7,  Arrival,before,   1,   0,   0,   0,   1
     144.468,     7,  Arrival, after,   3,   0,   0,   1,   1
     173.547,    12,Finish(1),before,   2,   0,   0,   1,   1
     173.547,    12,Finish(1), after,   2,   0,   1,   0,   1
     371.849,    10,Finish(2),before,   1,   0,   1,   0,   1
     371.849,    10,Finish(2), after,   2,   0,   0,   0,   1
     385.771,    11,  Arrival,before,   1,   0,   0,   0,   1
     385.771,    11,  Arrival, after,   3,   0,   0,   1,   1
     411.045,    15,Finish(1),before,   2,   0,   0,   1,   1
     411.045,    15,Finish(1), after,   2,   0,   1,   0,   1
     432.752,    13,Finish(2),before,   1,   0,   1,   0,   1
     432.752,    13,Finish(2), after,   2,   0,   0,   0,   1
     464.908,    14,  Arrival,before,   1,   0,   0,   0,   1
     464.908,    14,  Arrival, after,   3,   0,   0,   1,   1
     490.649,    18,Finish(1),before,   2,   0,   0,   1,   1
     490.649,    18,Finish(1), after,   2,   0,   1,   0,   1
     499.794,    17,  Arrival,before,   1,   0,   1,   0,   1
