# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:40:56
# parameter: seed = 4
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,25.914809366433467,Inf
2,256.88690665573137,256.88690665573137,263.2494547297692,Inf
3,366.07144142086,366.07144142086,404.15391963030106,Inf
4,385.62512700627093,404.15391963030106,444.94143574806776,Inf
5,395.1884522406809,426.3601202334327,462.31759559581826,Inf
6,446.19641332984395,455.16846299680503,536.3865244023694,Inf
7,452.8377238647322,489.27686986511327,607.9608667425761,Inf
8,591.6189526498962,591.6189526498962,676.7533098792422,Inf
9,651.0497943247572,651.0497943247572,790.9990050754755,Inf
10,704.5291452599906,704.5291452599906,824.5073802993733,Inf
11,727.5677738472004,727.5677738472004,831.9871915231911,Inf
12,783.6690191725341,783.6690191725341,869.278829837496,Inf
13,814.1135506078806,814.1135506078806,877.486329388392,Inf
14,827.5849846800762,843.8013274243981,888.1976115864934,Inf
15,898.2426396585385,898.2426396585385,981.281778337794,Inf
16,932.1394312806157,932.1394312806157,1082.4528965908028,Inf
17,956.404882453243,966.640908563618,1168.7138152460604,Inf
18,958.6455552811719,977.189393705273,1189.1698778574482,Inf
19,1014.2147114663187,1014.2147114663187,1211.6990422621077,Inf
20,1040.1647650815391,1082.4528965908028,1438.7855028444092,Inf
21,1072.5401812686787,1168.7138152460604,1461.786126035311,Inf
22,1114.6590819754495,1191.4403276907624,1541.331005900028,Inf
23,1213.7515657023082,1224.2566600235514,1545.5758861944978,Inf
24,1247.0918802626752,1438.7855028444092,1561.9257921760577,Inf
25,1303.9134507560007,1461.786126035311,1568.854217596466,Inf
26,1398.036413084043,1541.331005900028,1750.4243110978427,Inf
27,1603.5594102461575,1603.5594102461575,1787.3836307932845,Inf
28,1668.0768620002639,1668.0768620002639,1849.1074734219696,Inf
29,1681.1957112259117,1696.1041273820524,1856.9455183287253,Inf
30,1777.571998636538,1777.571998636538,1891.0872693192591,Inf
31,1840.4946643830453,1840.4946643830453,1938.22819660784,Inf
32,1844.392755140613,1864.7468347406584,1991.0323776400683,Inf
33,2081.624350200457,2081.624350200457,2117.487467523486,Inf
34,2176.4541082616606,2176.4541082616606,2198.16124352392,Inf
35,2204.9396608409174,2204.9396608409174,2230.0057521811564,Inf
36,2315.314965472214,2315.314965472214,2334.5163137343293,Inf
37,2376.5326365111823,2376.5326365111823,2402.484357081259,Inf
38,2406.981302525216,2406.981302525216,2459.0923316559565,Inf
39,2498.2436340198574,2498.2436340198574,2642.383248469574,Inf
40,2520.8469855247604,2525.6362132824706,2654.500485490749,Inf
41,2562.535014121012,2562.535014121012,2720.326709116903,Inf
42,2593.585138550527,2593.585138550527,2729.39688574909,Inf
43,2647.631089935402,2647.631089935402,2865.794245170214,Inf
44,2652.0753138098994,2680.9315278938766,2873.82920232501,Inf
45,2922.9673522446333,2922.9673522446333,2956.66141621047,Inf
46,2964.396551244843,2964.396551244843,2993.460576690757,Inf
47,2994.5728837383804,2994.5728837383804,3081.4919598895053,Inf
48,3057.4007286428364,3057.4007286428364,3204.4196860371057,Inf
49,3104.376901876188,3104.376901876188,3205.174339215297,Inf
50,3219.454106316761,3219.454106316761,3349.711236776357,Inf
51,3332.96717017837,3332.96717017837,3513.5774231185865,Inf
52,3390.811958580782,3390.811958580782,3573.041741919768,Inf
53,3494.2699031223906,3494.2699031223906,3606.1072586960518,Inf
54,3607.1711650842685,3607.1711650842685,3647.6563829952233,Inf
55,3639.108139238873,3647.6563829952233,3683.0399743515827,Inf
56,3683.8519874388594,3683.8519874388594,3994.257160141442,Inf
57,3719.502196072631,3719.502196072631,4014.1760479278923,Inf
58,3754.3536419283805,3754.3536419283805,4028.929858508106,Inf
59,3822.6089989772727,3822.6089989772727,4060.8080533580182,Inf
60,3827.1490872643863,3994.257160141442,4111.738780724463,Inf
61,3829.8567163477574,4024.0267244997053,4171.0199015568505,Inf
62,3830.0698443731226,4053.7684353221366,4237.753010369772,Inf
63,3929.7362413611127,4080.2641917557794,4242.041752762418,Inf
64,4022.3781981673433,4112.920783741966,4304.036711318538,Inf
65,4270.710148115066,4270.710148115066,4336.243929913665,Inf
66,4357.898519461728,4357.898519461728,4445.178567503703,Inf
67,4426.673812841879,4426.673812841879,4520.025330213466,Inf
68,4493.05190455738,4493.05190455738,4591.152979797136,Inf
69,4558.334166321985,4558.334166321985,4658.639083503669,Inf
70,4567.484077935281,4578.46080633662,4738.352058601187,Inf
71,4612.956370481975,4612.956370481975,4738.413367752914,Inf
72,4797.333661130193,4797.333661130193,4825.833577956234,Inf
73,4820.344513247855,4825.833577956234,4851.039442529305,Inf
74,4847.10347507116,4851.039442529305,4876.94341443376,Inf
75,4864.260827991419,4876.94341443376,4920.408226888763,Inf
76,4928.569533199604,4928.569533199604,4966.057783989162,Inf
77,5025.459521896717,5025.459521896717,5053.860411660291,Inf
78,5051.908931419882,5053.860411660291,5117.231710433636,Inf
79,5145.747218097241,5145.747218097241,5183.944737881076,Inf
80,5188.009052078653,5188.009052078653,5200.240903733547,Inf
81,5289.887299779384,5289.887299779384,5307.996713857957,Inf
82,5339.001388762143,5339.001388762143,5376.842298725209,Inf
83,5729.340454969084,5729.340454969084,5758.408951747723,Inf
84,5842.301004575049,5842.301004575049,5871.268793927223,Inf
85,5982.653164768489,5982.653164768489,6051.740693006732,Inf
86,5996.534369502957,6003.485564830576,6059.0805341234045,Inf
87,6061.687314796171,6061.687314796171,6201.919150530358,Inf
88,6103.228168938124,6103.228168938124,6210.0511047131295,Inf
89,6129.2981258974,6132.83052178791,6393.031113405002,Inf
90,6230.904775000924,6230.904775000924,6533.488684773723,Inf
91,6250.593789166309,6258.286607948147,6639.990065721768,Inf
92,6253.020366229271,6285.556225755674,6690.5342950658805,Inf
93,6345.6887908637655,6393.031113405002,6827.32224355444,Inf
94,6378.291166338138,6533.488684773723,6880.699762422027,Inf
95,6414.716257934382,6639.990065721768,6906.429439885685,Inf
96,6600.168542043563,6690.5342950658805,6971.219315486841,Inf
97,6627.281380753048,6827.32224355444,6984.548357624802,Inf
98,6682.721661702087,6880.699762422027,6995.5915519667815,Inf
99,6860.174693715786,6907.847905774529,6999.832338930471,Inf
100,7033.805749858605,7033.805749858605,7053.401885822351,Inf
101,7173.668652068685,7173.668652068685,7195.907500159048,Inf
102,7175.812868254815,7195.907500159048,7333.800625001368,Inf
103,7251.298575363277,7251.298575363277,7347.59286356497,Inf
104,7301.4042724324,7301.4042724324,7351.680497041209,Inf
105,7303.557966321982,7319.914197807488,7357.370910838714,Inf
106,7380.406192982682,7380.406192982682,7460.781234918795,Inf
107,7380.90005465738,7415.229284200422,7473.036950398376,Inf
108,7452.418016805493,7452.418016805493,7570.09148224257,Inf
109,7614.313590497212,7614.313590497212,7635.770652223534,Inf
110,7676.815030911669,7676.815030911669,7753.676001420047,Inf
111,7687.967892237977,7713.46786431613,7786.432155149816,Inf
112,7788.740016777668,7788.740016777668,7817.212660060987,Inf
113,7797.861065923185,7817.212660060987,7868.319991438807,Inf
114,7806.089190610006,7868.319991438807,7942.9315784137525,Inf
115,7838.119457488948,7892.789772741797,8019.525214010841,Inf
116,7903.2492616793215,7920.998450617661,8040.06652910724,Inf
117,8013.469222385503,8013.469222385503,8062.180673231872,Inf
118,8020.362697370938,8029.794906039004,8121.984276018629,Inf
119,8020.905593731291,8051.6349775627505,8157.582150105143,Inf
120,8175.441907656436,8175.441907656436,8237.286223034464,Inf
121,8219.108524547088,8220.700234896814,8258.514953367612,Inf
122,8329.879549964546,8329.879549964546,8409.34987750901,Inf
123,8372.532417578424,8372.532417578424,8413.279624141967,Inf
124,8395.497923364206,8397.143129506387,8433.165102960227,Inf
125,8433.115442158634,8433.115442158634,8485.594030717812,Inf
126,8465.353881874882,8465.353881874882,8580.080135984415,Inf
127,8634.144830000401,8634.144830000401,8654.069814920618,Inf
128,8726.68717392512,8726.68717392512,8768.398515797708,Inf
129,8735.525430160009,8768.398515797708,8793.745327462508,Inf
130,8796.601108738183,8796.601108738183,8965.41718694957,Inf
131,8865.794355040103,8865.794355040103,9020.661007871786,Inf
132,8990.385132170517,8990.385132170517,9061.071478954686,Inf
133,9006.184815425637,9006.184815425637,9155.518497644101,Inf
134,9043.210580914314,9043.210580914314,9162.244668236019,Inf
135,9120.82927936298,9120.82927936298,9236.173785471632,Inf
136,9124.056198380573,9147.028210212593,9330.143700337567,Inf
137,9170.185644107454,9170.185644107454,9378.24902384108,Inf
138,9203.417142309072,9203.417142309072,9380.465013661174,Inf
139,9347.552407055982,9347.552407055982,9395.786817357402,Inf
140,9536.762052201073,9536.762052201073,9545.433712396885,Inf
141,9560.235086669329,9560.235086669329,9588.144207927966,Inf
142,9595.182056938304,9595.182056938304,9666.525378601831,Inf
143,9598.72516999875,9635.015166101311,9725.70868904933,Inf
144,9623.119385570233,9656.416365256388,9900.099444102052,Inf
145,9656.194464835387,9692.318215059368,10017.109722220557,Inf
146,9780.462812872645,9780.462812872645,10069.111731510156,Inf
147,9807.510537330118,9807.510537330118,10155.025284379644,Inf
148,10012.27349879425,10012.27349879425,10179.669917655126,Inf
149,10033.101991136215,10033.101991136215,10241.963311050911,Inf
150,10160.779607658515,10160.779607658515,10263.329989236223,Inf
151,10166.43735025946,10176.468014584678,10308.47685157531,Inf
152,10236.169847576723,10236.169847576723,10363.081458745486,Inf
153,10316.47789298789,10316.47789298789,10381.275356792647,Inf
154,10420.522990966052,10420.522990966052,10458.406338009672,Inf
155,10634.432099780257,10634.432099780257,10651.2124869419,Inf
156,10655.69061262589,10655.69061262589,10685.694615911832,Inf
157,10786.028975093477,10786.028975093477,10814.983453139483,Inf
158,10870.758892710044,10870.758892710044,10889.837443903172,Inf
159,10925.338447435426,10925.338447435426,10996.892140483098,Inf
160,10940.036128978534,10952.0456076981,11043.803830300614,Inf
161,11023.531999419061,11023.531999419061,11082.657012984142,Inf
162,11112.293771326107,11112.293771326107,11160.857431074706,Inf
163,11126.917247705225,11146.45227991723,11386.479760459864,Inf
164,11127.597983506706,11176.742636577754,11389.312000722995,Inf
165,11192.938390407735,11194.901946505954,11504.988532329226,Inf
166,11268.831825776204,11268.831825776204,11532.770085340368,Inf
167,11311.464398081393,11386.479760459864,11552.940793056348,Inf
168,11343.171878944524,11403.966222756482,11553.429877362276,Inf
169,11375.342233099445,11504.988532329226,11559.916145963309,Inf
170,11377.400188419653,11532.770085340368,11577.417463707681,Inf
171,11386.224943935891,11558.292992066503,11592.174861030055,Inf
172,11389.862002055588,11562.616705132967,11667.232745935586,Inf
173,11667.84994328338,11667.84994328338,11747.209187470866,Inf
174,11714.52485096316,11714.52485096316,11777.49154101154,Inf
175,11768.909394962704,11768.909394962704,11819.35209764698,Inf
176,11791.339793901583,11807.215474743249,11874.46648811777,Inf
177,11807.801964372986,11828.496208646182,11887.776155635132,Inf
178,12080.73727927531,12080.73727927531,12100.862954939632,Inf
179,12138.192454435837,12138.192454435837,12166.033062859164,Inf
180,12173.04887985779,12173.04887985779,12296.217222276862,Inf
181,12185.03731341276,12194.498773322302,12308.349224371424,Inf
182,12265.802886497035,12265.802886497035,12386.745786970763,Inf
183,12331.511076934523,12331.511076934523,12411.125145353311,Inf
184,12368.772665436254,12368.772665436254,12663.788132712,Inf
185,12447.221465499866,12447.221465499866,12686.950467775285,Inf
186,12469.207841038386,12478.5796699647,12720.815731145101,Inf
187,12530.757258035264,12530.757258035264,12820.905300763205,Inf
188,12642.470992800747,12663.788132712,12907.886269744722,Inf
189,12685.132433204895,12686.950467775285,12998.750838688402,Inf
