# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:08
# parameter: seed = 89
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,15.937097600112802,Inf
2,30.748753771520857,30.748753771520857,57.55367313468254,Inf
3,41.9170450223351,57.55367313468254,153.1300152618882,Inf
4,52.00999542823214,85.7233436635549,160.75635275535623,Inf
5,52.43146837818672,108.26804748518494,166.7858567691144,Inf
6,91.07343250272835,129.35691271810353,199.5328129503329,Inf
7,255.96106454912615,255.96106454912615,288.6852353703717,Inf
8,340.4908517572784,340.4908517572784,360.85830981375375,Inf
9,364.63674328030714,364.63674328030714,417.9401555252762,Inf
10,469.7021463572838,469.7021463572838,483.3534592672846,Inf
11,478.75769641988836,483.3534592672846,533.3171589411809,Inf
12,508.6226375126631,518.1959130093855,586.2054515034512,Inf
13,590.187254089712,590.187254089712,721.4361863525305,Inf
14,630.2344838470241,630.2344838470241,752.6950951353505,Inf
15,650.9208103797031,663.5789777056556,756.7456099561906,Inf
16,672.9997079385429,685.8362397974199,861.2312988863636,Inf
17,690.50383101077,721.4361863525305,862.7347770250565,Inf
18,704.1237503774448,752.6950951353505,889.3417474392651,Inf
19,719.7782815237359,782.5669608683993,1029.9677547731465,Inf
20,812.6221248233195,861.2312988863636,1035.7391703012572,Inf
21,813.5976325261904,879.1669914986609,1208.757307074427,Inf
22,928.6686496839831,928.6686496839831,1269.8651390402374,Inf
23,1010.5898168430159,1029.9677547731465,1312.283237820717,Inf
24,1171.1445675431087,1171.1445675431087,1383.8686874417572,Inf
25,1247.3122460518684,1247.3122460518684,1441.9397981736565,Inf
26,1320.1959168301705,1320.1959168301705,1539.8628342813581,Inf
27,1325.772642227656,1338.0924326587133,1568.5184127106456,Inf
28,1362.8804253535286,1383.8686874417572,1649.0279270591657,Inf
29,1388.896855836742,1441.9397981736565,1649.4238853662973,Inf
30,1423.0385881162542,1539.8628342813581,1671.909354802924,Inf
31,1432.504631987848,1573.5095217123944,1697.601214533088,Inf
32,1436.3267078844408,1649.0279270591657,1772.337089194802,Inf
33,1473.3014197604855,1679.6318479856998,1784.9984145573007,Inf
34,1485.0228631283287,1687.0989669167,1804.2422509842718,Inf
35,1521.267340162446,1715.4087899632493,1825.3850509805004,Inf
36,1587.1959311861485,1772.337089194802,1899.2039214133083,Inf
37,1602.6805619704503,1791.8840541420527,1974.7678295975334,Inf
38,1604.0209987109454,1832.6912594328694,2024.629672503158,Inf
39,1636.813606333917,1859.9118828300186,2149.2681688926245,Inf
40,1650.0740794129129,1899.2039214133083,2170.8635446958606,Inf
41,1684.0528017011957,1974.7678295975334,2255.306337186602,Inf
42,1687.2767017401281,2024.629672503158,2307.1881084478146,Inf
43,1834.8739793366142,2149.2681688926245,2392.792079507472,Inf
44,1876.1085874199025,2179.7055582997064,2393.593070866635,Inf
45,2027.9984237984986,2255.306337186602,2396.28340813414,Inf
46,2105.259145234183,2307.1881084478146,2487.9339665267084,Inf
47,2123.9879437081263,2392.792079507472,2535.9907445187528,Inf
48,2124.668849397065,2418.9132949318864,2556.513705425086,Inf
49,2166.724280507898,2440.086587217028,2581.7065646528267,Inf
50,2217.8149620864847,2487.9339665267084,2695.1651535572605,Inf
51,2283.4823211878984,2535.9907445187528,2750.3117780510147,Inf
52,2333.9384879241425,2567.0943197054958,2753.8223641486225,Inf
53,2353.7155548795904,2594.6206281211093,2769.750970081745,Inf
54,2497.5346465441403,2695.1651535572605,2812.2878118906133,Inf
55,2571.1849623843295,2750.3117780510147,2867.3751914984887,Inf
56,2630.9700385578217,2773.1276791225887,2976.092714337098,Inf
57,2731.2103201471014,2795.3529322042873,3047.8226451695537,Inf
58,2758.5726753746276,2816.0368475054424,3059.532539063811,Inf
59,2884.445100973892,2884.445100973892,3155.6774587370464,Inf
60,2979.3830768976786,2979.3830768976786,3225.134379127786,Inf
61,3006.4457904939477,3047.8226451695537,3267.6777598289973,Inf
62,3131.5650443265354,3131.5650443265354,3343.7918363511853,Inf
63,3158.8351294824365,3172.6953289288545,3362.8218619306463,Inf
64,3161.6492999702245,3225.134379127786,3385.5792594039403,Inf
65,3192.1079566679214,3267.6777598289973,3416.1222015145795,Inf
66,3261.313887264689,3343.7918363511853,3461.345248870552,Inf
67,3334.717093887851,3370.1415682320944,3486.765472049564,Inf
68,3460.4615507549743,3460.4615507549743,3569.912806292558,Inf
69,3478.23043612716,3486.6280621238348,3737.7028270977976,Inf
70,3510.325456227833,3510.325456227833,3809.1911307682717,Inf
71,3545.6709139462355,3545.6709139462355,3951.579500637946,Inf
72,3558.287051780499,3573.050777962804,3967.5671646362384,Inf
73,3569.447405953917,3737.7028270977976,3971.5144654381274,Inf
74,3619.9716115390806,3809.1911307682717,3996.98014951207,Inf
75,3704.746088006155,3951.579500637946,4241.7430647523515,Inf
76,3726.428535605038,3979.979644701183,4261.19843182283,Inf
77,3766.5475345806217,4005.683211780808,4377.041015301718,Inf
78,3806.349198942896,4030.657523773423,4462.794642085049,Inf
79,3914.2396289527037,4241.7430647523515,4487.87524402152,Inf
80,3931.1303857951716,4262.113577635807,4492.114610027087,Inf
81,3977.9064330686674,4377.041015301718,4525.11772978274,Inf
82,4000.8393725852493,4462.794642085049,4570.812588446204,Inf
83,4019.107853506446,4495.214938585531,4635.463808414291,Inf
84,4128.4750156460805,4517.4867894663,4663.2130617018765,Inf
85,4153.416467184723,4554.162862031027,4702.891124538977,Inf
86,4169.949683945463,4589.340692761981,4742.035325879422,Inf
87,4175.885989732234,4635.463808414291,4876.397482244507,Inf
88,4257.918477250845,4663.2130617018765,4886.875714934644,Inf
89,4261.739774243711,4702.891124538977,4958.299305264041,Inf
90,4672.011507311433,4742.035325879422,4989.25310007491,Inf
91,4680.7499763102,4876.397482244507,5012.177948726922,Inf
92,4695.051284906936,4898.387893805625,5073.09103836501,Inf
93,4714.068760632059,4958.299305264041,5082.942519772415,Inf
94,4715.793881438689,4989.57724954158,5259.267111065857,Inf
95,4724.953599456674,5019.075938628651,5367.050219034734,Inf
96,4760.161201188129,5073.09103836501,5608.54217944512,Inf
97,4798.656439177342,5099.242975760192,5693.79309027984,Inf
98,5046.821407351019,5259.267111065857,5712.711274454459,Inf
99,5089.558123609396,5367.050219034734,5743.571837308756,Inf
100,5102.149453182156,5608.54217944512,5811.143528701309,Inf
101,5186.96927152784,5693.79309027984,5827.478257748521,Inf
102,5189.283718252255,5722.675047875817,6004.798491897931,Inf
103,5246.815892634177,5743.571837308756,6164.214453220392,Inf
104,5284.64542759415,5811.143528701309,6171.32116843815,Inf
105,5463.72085006998,5833.6712388250835,6258.13716217171,Inf
106,5594.160600576149,6004.798491897931,6337.464000043841,Inf
107,5691.899815649667,6164.214453220392,6544.100534291358,Inf
108,5727.27819444829,6194.762367746242,6569.691256739842,Inf
109,5755.351445330796,6258.13716217171,6578.766723391565,Inf
110,5757.638308738461,6337.464000043841,6643.180965221496,Inf
111,5818.753531553748,6544.100534291358,6648.526458430648,Inf
112,5959.1039410710755,6571.59469414517,6810.393335164873,Inf
113,6091.372117788593,6591.023916086076,6871.023921067471,Inf
114,6198.012733024971,6643.180965221496,6902.2203567194,Inf
115,6200.5314224571075,6660.5978666032615,6972.174083924751,Inf
116,6419.636770546986,6810.393335164873,7003.287475341891,Inf
117,6526.632986307111,6871.023921067471,7016.259280974833,Inf
118,6582.494612690107,6902.2203567194,7041.528494406987,Inf
119,6602.3146378005895,6972.174083924751,7181.959142381701,Inf
120,6643.9978633843475,7003.287475341891,7220.003216948761,Inf
121,6734.499112957873,7016.259280974833,7246.680472169448,Inf
122,6791.6564493758,7041.528494406987,7267.6888835235195,Inf
123,6835.396203180416,7181.959142381701,7280.917725418641,Inf
124,6912.577223810698,7220.003216948761,7433.573891884495,Inf
125,6943.788678743655,7247.322094313975,7453.616083007745,Inf
126,7035.60730993207,7274.174863954492,7486.322670188681,Inf
127,7114.659482026568,7301.445692501174,7562.354191380993,Inf
128,7130.0550357301945,7433.573891884495,7680.373327200988,Inf
129,7144.82331792439,7466.940954613285,7837.541592004372,Inf
130,7147.794602087104,7488.00984240542,7852.848244312069,Inf
131,7170.361796460356,7562.354191380993,7864.358195377847,Inf
132,7252.249404899788,7680.373327200988,7993.128723350478,Inf
133,7272.775303451065,7837.541592004372,8040.184280132739,Inf
134,7350.869822988634,7858.009156928052,8053.615939102788,Inf
135,7505.057597429992,7885.646540145497,8137.774437075586,Inf
136,7508.798703277685,7993.128723350478,8167.177505733824,Inf
137,7652.54657517163,8040.184280132739,8258.829179698068,Inf
138,7668.946730454772,8053.615939102788,8322.348548785432,Inf
139,7810.672236977705,8137.774437075586,8408.182149844757,Inf
140,7827.971447606566,8167.177505733824,8464.6341907296,Inf
141,7919.718886855256,8258.829179698068,8589.422393198407,Inf
142,7929.279158425453,8322.348548785432,8593.6218491687,Inf
143,7940.9733690032535,8408.182149844757,8620.764185676331,Inf
144,7963.594766077514,8464.6341907296,8659.779183671688,Inf
145,8128.073922670358,8589.422393198407,8666.93231236696,Inf
146,8234.836089946351,8619.954500408721,8678.12723210221,Inf
147,8312.71909639139,8650.462436379188,8785.158053478579,Inf
148,8316.655077637763,8673.05598851889,8803.196999067704,Inf
149,8375.065751122283,8682.204619881022,8828.29720577785,Inf
150,8412.059062276203,8692.725124143471,9043.32825533576,Inf
151,8415.870088051863,8785.158053478579,9137.787599686248,Inf
152,8505.486866322583,8806.42647536091,9142.574405011219,Inf
153,8556.337222500584,8839.643726581215,9147.889038468174,Inf
154,8602.708688824829,9043.32825533576,9153.157758650668,Inf
155,8968.418416068895,9137.787599686248,9219.549518375072,Inf
156,9083.743142936208,9169.656120785405,9313.883885757843,Inf
157,9117.065866625673,9184.091333016233,9314.95944981943,Inf
158,9138.344854575837,9214.895408530314,9320.029371094904,Inf
159,9143.764842402728,9231.62792388651,9329.158392991223,Inf
160,9188.120160587998,9313.883885757843,9432.302050145157,Inf
161,9377.583344926632,9377.583344926632,9458.040443958349,Inf
162,9422.823020477486,9422.823020477486,9478.46061105498,Inf
