# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:09
# parameter: seed = 94
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,8.647759532069305,Inf
2,92.92210435292705,92.92210435292705,115.87178458604828,Inf
3,139.6469343989344,139.6469343989344,348.1447633945249,Inf
4,169.44334960580744,169.44334960580744,367.0000488540385,Inf
5,252.64053681033784,252.64053681033784,538.7398813058597,Inf
6,291.13716591495694,291.13716591495694,547.0918993492404,Inf
7,304.89710938218576,348.1447633945249,549.4094140510985,Inf
8,306.97803524976365,367.0000488540385,689.9106945560111,Inf
9,339.4101323847833,538.7398813058597,699.1178283089785,Inf
10,532.5597187771244,572.1855277557435,825.5835860840284,Inf
11,533.0787428247613,600.8541983656507,837.7780404817817,Inf
12,609.282260625993,689.9106945560111,855.6038835162263,Inf
13,610.7005060848247,708.1255267184389,871.0122469934012,Inf
14,621.1340786337203,825.5835860840284,880.0727037867862,Inf
15,657.3627415532636,853.8861581262522,1023.3001989065174,Inf
16,666.1746073732414,873.4358641047721,1030.9792605018806,Inf
17,686.9946111283441,899.1431243735016,1039.1443309998788,Inf
18,864.2423559245435,928.0103534062675,1057.8725749488233,Inf
19,895.0175241201968,1023.3001989065174,1118.5899398535732,Inf
20,896.2193963935969,1057.1700527064052,1176.6390153047687,Inf
21,907.6454468595269,1083.300360016181,1364.2520370217972,Inf
22,998.8914507776379,1114.8014890910313,1380.9079299556322,Inf
23,1011.9930249391434,1139.8253775690898,1445.6250460784445,Inf
24,1014.0076151605371,1176.6390153047687,1553.2544480178285,Inf
25,1039.4516646251573,1364.2520370217972,1615.3372803026075,Inf
26,1066.7006497959899,1384.6301221466767,1677.2007940085061,Inf
27,1111.541790187184,1445.6250460784445,1828.5002684884012,Inf
28,1123.5634794336736,1553.2544480178285,1980.414276281267,Inf
29,1246.0788748814177,1615.3372803026075,2029.277707301095,Inf
30,1278.0506656634366,1677.2007940085061,2053.0990480416017,Inf
31,1502.4789827889815,1828.5002684884012,2108.448819452882,Inf
32,1525.9526407582746,1980.414276281267,2158.214922599082,Inf
33,1576.4336174655718,2029.277707301095,2253.345404944236,Inf
34,1603.3550322291942,2053.0990480416017,2280.9934186865385,Inf
35,1618.2086836270405,2108.448819452882,2334.556333094478,Inf
36,1704.4168160668164,2158.214922599082,2427.939211554353,Inf
37,1709.8600094670303,2253.345404944236,2507.3475927016443,Inf
38,1711.8203561604362,2280.9934186865385,2558.097409702333,Inf
39,1721.9645916694017,2334.556333094478,2558.1851784527757,Inf
40,1825.4199866566576,2427.939211554353,2605.1619668579046,Inf
41,1839.4582026089458,2507.3475927016443,2610.2063245672475,Inf
42,1913.567086665199,2558.097409702333,2695.689055682443,Inf
43,1945.0604050627321,2578.0952219272194,2705.4487485697464,Inf
44,1952.4334120306619,2605.1619668579046,2778.5740522913884,Inf
45,2019.8491237097026,2632.473044507563,2819.2206185863492,Inf
46,2053.2729574671202,2695.689055682443,2906.121298219643,Inf
47,2072.9432905855742,2724.3196220235336,3039.5883092301674,Inf
48,2116.4125558340343,2778.5740522913884,3258.2666207312595,Inf
49,2164.7021342843354,2819.2206185863492,3261.8183212135204,Inf
50,2167.3816758302614,2906.121298219643,3262.6324326044987,Inf
51,2219.4955547074032,3039.5883092301674,3329.3539467090977,Inf
52,2243.964386276119,3258.2666207312595,3329.7894723790037,Inf
53,2254.787871542601,3287.129467967553,3343.496305170892,Inf
54,2274.725848084752,3311.9584911894813,3416.741206744831,Inf
55,2343.453694610157,3337.63429280877,3421.8832737787584,Inf
56,2364.533124490629,3369.2356296012963,3457.8215757029575,Inf
57,2705.875113012062,3391.1124453410116,3513.842074336828,Inf
58,2713.9740430193415,3429.9151594019745,3515.145958661811,Inf
59,2743.4702222172496,3462.606471516654,3564.274638885563,Inf
60,2805.726295570145,3496.6512750205393,3614.928787973909,Inf
61,2866.949952171566,3515.3211840324316,3799.6725929720233,Inf
62,3097.5125399837802,3531.5545630829324,3826.67247788738,Inf
63,3248.375415555751,3564.274638885563,3834.902425517313,Inf
64,3315.217708150086,3614.928787973909,3864.580733370483,Inf
65,3336.3236204446953,3799.6725929720233,3934.8943987377925,Inf
66,3349.2296993828168,3826.67247788738,4033.0488600188028,Inf
67,3418.8520948249275,3836.1349302946737,4035.685440334239,Inf
68,3487.5102445079565,3875.4516026225488,4122.684849891917,Inf
69,3534.119583878535,3934.8943987377925,4223.141398176285,Inf
70,3574.89589327908,4033.0488600188028,4244.665087379524,Inf
71,3576.9269477965804,4058.7329651143264,4293.221971667271,Inf
72,3586.4106871901363,4122.684849891917,4315.00701953208,Inf
73,3658.1015443242354,4223.141398176285,4361.406283108732,Inf
74,3677.94869447948,4252.537274123596,4391.252786131703,Inf
75,3693.9668012455154,4293.221971667271,4509.257465216759,Inf
76,3736.2269004935033,4325.252796292443,4509.58395059325,Inf
77,3807.75212988194,4361.406283108732,4530.822083692103,Inf
78,3809.010561648882,4391.252786131703,4630.735623907147,Inf
79,3891.729963254874,4509.257465216759,4861.012710480467,Inf
80,3899.265703671359,4545.310877313233,4863.093577083299,Inf
81,3926.766627960749,4571.29419549889,4864.001084573795,Inf
82,3950.2633350891942,4630.735623907147,4921.806446580415,Inf
83,4004.464319095444,4861.012710480467,5059.382497731281,Inf
84,4097.0216453781495,4888.846602426023,5523.977306568679,Inf
