# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:02
# parameter: seed = 42
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      28.210,     3,Finish(1),before,   1,   0,   0,   1,   0
      28.210,     3,Finish(1), after,   2,   0,   0,   0,   1
      65.951,     2,  Arrival,before,   1,   0,   0,   0,   1
      65.951,     2,  Arrival, after,   3,   0,   0,   1,   1
      91.856,     6,Finish(1),before,   2,   0,   0,   1,   1
      91.856,     6,Finish(1), after,   2,   0,   1,   0,   1
     108.323,     5,  Arrival,before,   1,   0,   1,   0,   1
     108.323,     5,  Arrival, after,   3,   0,   1,   1,   1
     126.006,     8,Finish(1),before,   2,   0,   1,   1,   1
     126.006,     8,Finish(1), after,   2,   0,   2,   0,   1
     163.108,     7,  Arrival,before,   1,   0,   2,   0,   1
     163.108,     7,  Arrival, after,   3,   0,   2,   1,   1
     200.851,    10,Finish(1),before,   2,   0,   2,   1,   1
     200.851,    10,Finish(1), after,   2,   0,   3,   0,   1
     226.247,     4,Finish(2),before,   1,   0,   3,   0,   1
     226.247,     4,Finish(2), after,   2,   0,   2,   0,   1
     228.296,     9,  Arrival,before,   1,   0,   2,   0,   1
     228.296,     9,  Arrival, after,   3,   0,   2,   1,   1
     259.000,    13,Finish(1),before,   2,   0,   2,   1,   1
     259.000,    13,Finish(1), after,   2,   0,   3,   0,   1
     274.034,    11,Finish(2),before,   1,   0,   3,   0,   1
     274.034,    11,Finish(2), after,   2,   0,   2,   0,   1
     326.901,    12,  Arrival,before,   1,   0,   2,   0,   1
     326.901,    12,  Arrival, after,   3,   0,   2,   1,   1
     328.449,    15,  Arrival,before,   2,   0,   2,   1,   1
     328.449,    15,  Arrival, after,   3,   1,   2,   1,   1
     340.225,    14,Finish(2),before,   2,   1,   2,   1,   1
     340.225,    14,Finish(2), after,   3,   1,   1,   1,   1
     359.600,    16,Finish(1),before,   2,   1,   1,   1,   1
     359.600,    16,Finish(1), after,   3,   0,   2,   1,   1
     371.409,    17,  Arrival,before,   2,   0,   2,   1,   1
