# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:04
# parameter: seed = 56
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,19.941198257271566,Inf
2,11.58123694959354,19.941198257271566,41.60789658231471,Inf
3,21.55151719233392,33.82066874064522,56.78208729350514,Inf
4,68.31711398728771,68.31711398728771,123.46309890732462,Inf
5,106.24789861977595,106.24789861977595,160.79553051462713,Inf
6,242.97408787854192,242.97408787854192,256.46818985422294,Inf
7,323.4789843211984,323.4789843211984,351.6231416507634,Inf
8,323.6284335520259,351.6231416507634,378.0115195532471,Inf
9,455.9473277711995,455.9473277711995,479.1603818367384,Inf
10,478.4951058149057,479.1603818367384,521.372074134411,Inf
11,497.68438934500966,514.7053766902376,613.456939239771,Inf
12,533.9728992038525,545.1933189135663,646.0669489382749,Inf
13,558.6055883278312,578.7616253978977,663.4360956750816,Inf
14,609.2467913813944,609.2467913813944,722.2184667270784,Inf
15,723.1567241725559,723.1567241725559,751.9536739040024,Inf
16,821.1508650830813,821.1508650830813,839.1888739923601,Inf
17,946.4181562045626,946.4181562045626,973.39359811793,Inf
18,969.815278133756,973.39359811793,1019.4081884113533,Inf
19,1080.2463187006117,1080.2463187006117,1095.4572738810177,Inf
20,1106.5081878527658,1106.5081878527658,1191.7449538436952,Inf
21,1110.4906498410344,1133.8233474126032,1297.932076245481,Inf
22,1115.2512373998802,1158.2803231159746,1414.102985684168,Inf
23,1314.2371122046743,1314.2371122046743,1452.2953334219721,Inf
24,1490.2327398274308,1490.2327398274308,1520.134810247152,Inf
25,1580.0178569231032,1580.0178569231032,1607.410424122771,Inf
26,1589.5833310968922,1607.410424122771,1640.059964012178,Inf
27,1645.25697948664,1645.25697948664,1674.727285131788,Inf
28,1700.243975408833,1700.243975408833,1757.3065122878327,Inf
29,1765.0171178803887,1765.0171178803887,1878.8837133533889,Inf
30,1831.7334864446145,1831.7334864446145,1940.9536170489678,Inf
31,1861.9503908452668,1861.9503908452668,1980.5601268635628,Inf
32,2123.8142552925974,2123.8142552925974,2149.741672572702,Inf
33,2299.743944212805,2299.743944212805,2320.520743707205,Inf
34,2407.030364481663,2407.030364481663,2429.177858146949,Inf
35,2409.2596993837565,2429.177858146949,2456.178134601919,Inf
36,2602.024206033965,2602.024206033965,2628.7579301347364,Inf
37,2669.7602858977475,2669.7602858977475,2690.578097762811,Inf
38,2771.6674311965703,2771.6674311965703,2793.8378090288356,Inf
39,2784.3283104353054,2793.8378090288356,2836.715217084237,Inf
40,2797.4265290550593,2811.6629419077963,2918.7997286660952,Inf
41,2801.5405076269967,2833.5431650473192,2953.2952511646017,Inf
42,2900.8542074262045,2900.8542074262045,2962.0919298821445,Inf
43,2930.7350560533732,2930.7350560533732,2968.4444700428808,Inf
44,2932.029268997557,2955.947938613203,3016.87688736539,Inf
45,2992.347949833294,2992.347949833294,3018.8785142321626,Inf
46,3007.8641323951924,3011.3009854763063,3159.2994012207546,Inf
47,3013.4209470507017,3039.369026333474,3181.3264966368356,Inf
48,3041.710652240935,3058.5511217227736,3201.2150858720956,Inf
49,3096.673684331263,3096.673684331263,3222.961384846456,Inf
50,3104.923975572163,3159.2994012207546,3256.7661311649417,Inf
51,3114.3735864177534,3181.3264966368356,3265.6251712321327,Inf
52,3164.480472534496,3201.2150858720956,3289.5886994986895,Inf
53,3237.5826053285023,3237.5826053285023,3383.628786043275,Inf
54,3297.449712252616,3297.449712252616,3393.2934908390084,Inf
55,3388.6125633981123,3388.6125633981123,3557.784071012313,Inf
56,3412.3970939494384,3422.599735780506,3593.0895660315314,Inf
57,3448.6509060644507,3448.6509060644507,3595.738706455289,Inf
58,3475.897524975708,3481.564858225253,3619.122761242991,Inf
59,3489.259785859627,3557.784071012313,3667.4255776846376,Inf
60,3508.97183155598,3593.0895660315314,3732.6943697730053,Inf
61,3517.0989033501587,3627.302034428465,3748.420595238736,Inf
62,3536.121952680857,3649.644148254033,3831.914443788377,Inf
63,3694.7353704211373,3694.7353704211373,3907.2041682906074,Inf
64,3734.7604593719184,3734.7604593719184,4061.7825504311336,Inf
65,3851.050435293533,3851.050435293533,4127.404122626692,Inf
66,4168.6773884895165,4168.6773884895165,4192.816993037034,Inf
67,4175.121167561529,4192.816993037034,4220.504354761074,Inf
68,4431.416991529959,4431.416991529959,4445.476526889271,Inf
