# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:00
# parameter: seed = 28
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,19.16309612249156,Inf
2,5.612947416770002,19.16309612249156,39.05876862802195,Inf
3,83.09124569450454,83.09124569450454,96.35890971004775,Inf
4,109.74426472640776,109.74426472640776,268.5263718579376,Inf
5,158.25598927677348,158.25598927677348,415.7426169359324,Inf
6,213.76740934228667,213.76740934228667,444.75943817049387,Inf
7,314.64333222811723,314.64333222811723,586.588027387686,Inf
8,619.6417542021175,619.6417542021175,636.848906259149,Inf
9,632.3089057847181,636.848906259149,743.7700283273527,Inf
10,718.660678179383,718.660678179383,753.6558044770665,Inf
11,739.7311230490618,749.1859406652771,781.8607242928563,Inf
12,765.1202771124956,769.5511650970766,813.9371351013376,Inf
13,771.0087587884337,805.8760677684368,845.128259541664,Inf
14,802.8905406117009,835.724087106536,852.9069684815909,Inf
15,862.7316320888733,862.7316320888733,902.25788025938,Inf
16,897.8673627030287,897.8673627030287,933.8855501811262,Inf
17,947.047887293796,947.047887293796,963.8350950147418,Inf
18,1011.9621217351591,1011.9621217351591,1037.7968617683466,Inf
19,1042.355060787491,1042.355060787491,1066.2161724065197,Inf
20,1102.9807880208139,1102.9807880208139,1220.0542295760642,Inf
21,1268.311891531874,1268.311891531874,1397.8564641300375,Inf
22,1346.4756075176338,1346.4756075176338,1398.990886302877,Inf
23,1348.2130486167305,1357.7122302945747,1453.1521577368285,Inf
24,1363.3948181805013,1390.1865108147201,1507.0052409773787,Inf
25,1368.9390938478364,1424.1794914246325,1556.7670604598657,Inf
26,1436.3501482649679,1456.3606172332911,1557.0774155055478,Inf
27,1440.7651115414324,1472.0356103903891,1662.4671716434127,Inf
28,1636.8912325277508,1636.8912325277508,1687.1616172561344,Inf
29,1693.9158737652472,1693.9158737652472,1725.163678589806,Inf
30,1744.1546447486014,1744.1546447486014,1792.7935675774677,Inf
31,1768.2964007793817,1777.8532827225583,1886.1783087855556,Inf
32,1775.4389164316694,1807.8136463673254,1912.4987646303193,Inf
33,1963.605254599144,1963.605254599144,2004.1592202898998,Inf
34,2138.5179335925527,2138.5179335925527,2153.7363490578023,Inf
35,2182.592643796932,2182.592643796932,2228.2221452800113,Inf
36,2216.1052355440606,2216.1052355440606,2235.661838865992,Inf
37,2222.100333285047,2235.661838865992,2259.2337982522954,Inf
38,2246.2813220576513,2259.2337982522954,2360.907208650283,Inf
39,2250.211648191165,2288.5120478959298,2430.2279637430843,Inf
40,2353.504379581898,2353.504379581898,2540.7804226904036,Inf
41,2489.1747877852235,2489.1747877852235,2638.922642883741,Inf
42,2566.289198594151,2566.289198594151,2697.208963217114,Inf
43,2623.908733458251,2623.908733458251,2752.817051653873,Inf
44,2652.6003493931153,2657.5884037824267,2879.811220182292,Inf
45,2782.426905364893,2782.426905364893,2923.049820036349,Inf
46,2803.3503549749757,2810.119452472686,2963.70641992708,Inf
47,2896.176345743411,2896.176345743411,2969.3755822681305,Inf
48,2999.682619688972,2999.682619688972,3025.964735411069,Inf
49,3001.623547173471,3025.964735411069,3072.727950440084,Inf
50,3019.444175428066,3040.0460915975987,3073.6773670176763,Inf
51,3050.0159705062924,3068.4311901239,3113.5293648013026,Inf
52,3135.5164878588785,3135.5164878588785,3155.822196631936,Inf
53,3160.705815772784,3160.705815772784,3253.777248434175,Inf
54,3269.8033460184,3269.8033460184,3293.4072125010107,Inf
55,3300.8574128255113,3300.8574128255113,3389.933883088178,Inf
56,3483.595710950494,3483.595710950494,3531.562751750301,Inf
57,3492.0393157540407,3506.1160184310534,3768.239955425736,Inf
58,3497.3894873766185,3530.890774545542,3836.2030138013306,Inf
59,3501.3598489969118,3539.7438813410204,4117.337071444283,Inf
60,3521.2795169373208,3560.5326213037483,4126.087986583064,Inf
61,3696.6812441630964,3768.239955425736,4152.316759826093,Inf
62,3722.463171474677,3836.2030138013306,4157.8229975939375,Inf
63,3731.8327414049886,4117.337071444283,4249.166291711842,Inf
64,3827.085002587331,4150.003701399508,4297.974381029027,Inf
65,3839.4553955289316,4173.190424434684,4394.985352217232,Inf
66,3865.9239487576306,4195.943776415955,4403.204578521372,Inf
67,3940.9008301581543,4249.166291711842,4429.457334404927,Inf
68,3944.201151166806,4297.974381029027,4488.737496244731,Inf
69,3952.9230508570395,4394.985352217232,4586.567468108113,Inf
70,3968.0939575870043,4427.462741326284,4816.806000930006,Inf
71,3995.6866619534153,4455.687363574855,4835.362881882379,Inf
72,4018.615030927927,4488.737496244731,4850.907528625101,Inf
73,4233.279497701505,4586.567468108113,4923.126746811373,Inf
74,4263.1532509956505,4816.806000930006,4935.278332418452,Inf
75,4322.297878006413,4846.338764309952,4959.553344140455,Inf
76,4323.819776099638,4871.679479757797,5030.3879360693045,Inf
77,4340.945847274061,4923.126746811373,5062.185296933479,Inf
78,4375.901193018017,4951.969063339365,5067.628946832918,Inf
79,4389.983195519501,4976.81808021855,5178.53034040361,Inf
80,4407.833330277587,5030.3879360693045,5184.71221118851,Inf
81,4434.218534405679,5062.185296933479,5218.752669164142,Inf
82,4539.095421245229,5089.305786015734,5341.375565588187,Inf
83,4690.0812165479365,5178.53034040361,5386.357830181896,Inf
84,4827.710768560908,5206.505994942176,5390.431105779739,Inf
85,4928.213743988423,5232.624006630447,5459.022548727504,Inf
86,4934.961361711314,5341.375565588187,5488.750435592602,Inf
87,4967.409308521369,5386.357830181896,5500.504598425333,Inf
88,4968.110670410878,5415.154206283381,5506.158781994404,Inf
89,5111.048384688401,5459.022548727504,5548.9363642082835,Inf
90,5135.830945910384,5488.750435592602,5554.253276410225,Inf
91,5206.283562572508,5506.939281729732,5557.956827149956,Inf
92,5206.5144053789045,5534.792851850046,5568.055313552095,Inf
93,5215.9008772419875,5550.363536456723,5619.706989410286,Inf
94,5339.165822601398,5577.475435352,5667.667195776273,Inf
95,5374.0389640321555,5591.432025558907,5794.918731357422,Inf
96,5379.838088954454,5611.49039654199,5856.299768523956,Inf
97,5386.698736533198,5626.23472231253,5863.530277204206,Inf
98,5409.633409613172,5667.667195776273,5885.835567730731,Inf
99,5442.778547658009,5794.918731357422,5971.369130106282,Inf
100,5557.255168331222,5856.299768523956,6022.643470242399,Inf
101,5614.20783159849,5879.08567095549,6040.998171192556,Inf
102,5647.428861835297,5914.711408203836,6144.878442193669,Inf
103,5657.828022556995,5971.369130106282,6170.357881245553,Inf
104,5723.84142011995,6022.643470242399,6222.029239026156,Inf
105,5771.280837108768,6044.285546586607,6238.400843940129,Inf
106,5774.385448745443,6144.878442193669,6367.086788218154,Inf
107,5849.32041064699,6170.357881245553,6461.853766917904,Inf
108,5859.891577613153,6222.029239026156,6496.10738074833,Inf
109,5949.872119490096,6243.344249181139,6537.945099935933,Inf
110,5991.8076614634665,6367.086788218154,6579.241227390133,Inf
111,6121.54558414373,6461.853766917904,6595.674668560094,Inf
112,6167.28080091159,6497.82555088221,6869.85069975919,Inf
113,6194.449836912425,6537.945099935933,6872.823748787048,Inf
114,6199.159804000704,6579.241227390133,6918.307557067908,Inf
115,6205.384998971702,6596.555711935706,6923.462077392439,Inf
116,6283.0391510915615,6869.85069975919,6990.1141777197645,Inf
117,6371.829124517906,6893.86974774161,7020.738313458448,Inf
118,6454.798384354418,6921.906547493618,7063.94940785142,Inf
119,6485.5066680471045,6943.260510012323,7080.301011475559,Inf
120,6568.220237909485,6990.1141777197645,7097.822573101059,Inf
121,6698.96252053648,7020.738313458448,7174.101811770318,Inf
122,6862.172732289939,7063.94940785142,7230.746339996717,Inf
123,6907.517006271978,7086.341952622727,7346.666746995397,Inf
124,6924.014720476657,7118.907725960103,7454.371816941418,Inf
125,7010.367061746045,7174.101811770318,7457.846242439175,Inf
126,7023.6292868092105,7230.746339996717,7582.609853026999,Inf
