# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:40:58
# parameter: seed = 12
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      17.069,     2,  Arrival,before,   1,   0,   0,   1,   0
      17.069,     2,  Arrival, after,   2,   1,   0,   1,   0
      36.539,     3,Finish(1),before,   1,   1,   0,   1,   0
      36.539,     3,Finish(1), after,   3,   0,   0,   1,   1
      48.820,     5,Finish(2),before,   2,   0,   0,   1,   1
      48.820,     5,Finish(2), after,   2,   0,   0,   1,   0
      60.341,     6,Finish(1),before,   1,   0,   0,   1,   0
      60.341,     6,Finish(1), after,   2,   0,   0,   0,   1
     120.331,     7,Finish(2),before,   1,   0,   0,   0,   1
     120.331,     7,Finish(2), after,   1,   0,   0,   0,   0
     127.083,     4,  Arrival,before,   0,   0,   0,   0,   0
     127.083,     4,  Arrival, after,   2,   0,   0,   1,   0
     139.489,     9,Finish(1),before,   1,   0,   0,   1,   0
     139.489,     9,Finish(1), after,   2,   0,   0,   0,   1
     154.779,     8,  Arrival,before,   1,   0,   0,   0,   1
     154.779,     8,  Arrival, after,   3,   0,   0,   1,   1
     184.896,    12,Finish(1),before,   2,   0,   0,   1,   1
     184.896,    12,Finish(1), after,   2,   0,   1,   0,   1
     232.378,    11,  Arrival,before,   1,   0,   1,   0,   1
     232.378,    11,  Arrival, after,   3,   0,   1,   1,   1
     258.860,    14,Finish(1),before,   2,   0,   1,   1,   1
     258.860,    14,Finish(1), after,   2,   0,   2,   0,   1
     269.857,    10,Finish(2),before,   1,   0,   2,   0,   1
     269.857,    10,Finish(2), after,   2,   0,   1,   0,   1
     297.257,    15,Finish(2),before,   1,   0,   1,   0,   1
     297.257,    15,Finish(2), after,   2,   0,   0,   0,   1
     327.590,    16,Finish(2),before,   1,   0,   0,   0,   1
     327.590,    16,Finish(2), after,   1,   0,   0,   0,   0
     402.632,    13,  Arrival,before,   0,   0,   0,   0,   0
     402.632,    13,  Arrival, after,   2,   0,   0,   1,   0
     434.697,    18,Finish(1),before,   1,   0,   0,   1,   0
