# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:07
# parameter: seed = 79
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       0.932,     2,  Arrival,before,   1,   0,   0,   1,   0
       0.932,     2,  Arrival, after,   2,   1,   0,   1,   0
      23.981,     3,Finish(1),before,   1,   1,   0,   1,   0
      23.981,     3,Finish(1), after,   3,   0,   0,   1,   1
      46.563,     6,Finish(1),before,   2,   0,   0,   1,   1
      46.563,     6,Finish(1), after,   2,   0,   1,   0,   1
      66.112,     5,Finish(2),before,   1,   0,   1,   0,   1
      66.112,     5,Finish(2), after,   2,   0,   0,   0,   1
      89.705,     7,Finish(2),before,   1,   0,   0,   0,   1
      89.705,     7,Finish(2), after,   1,   0,   0,   0,   0
     129.593,     4,  Arrival,before,   0,   0,   0,   0,   0
     129.593,     4,  Arrival, after,   2,   0,   0,   1,   0
     142.372,     8,  Arrival,before,   1,   0,   0,   1,   0
     142.372,     8,  Arrival, after,   2,   1,   0,   1,   0
     145.098,    10,  Arrival,before,   1,   1,   0,   1,   0
     145.098,    10,  Arrival, after,   2,   2,   0,   1,   0
     151.247,    11,  Arrival,before,   1,   2,   0,   1,   0
     151.247,    11,  Arrival, after,   2,   3,   0,   1,   0
     163.507,     9,Finish(1),before,   1,   3,   0,   1,   0
     163.507,     9,Finish(1), after,   3,   2,   0,   1,   1
     182.617,    13,Finish(2),before,   2,   2,   0,   1,   1
     182.617,    13,Finish(2), after,   2,   2,   0,   1,   0
     187.791,    14,Finish(1),before,   1,   2,   0,   1,   0
     187.791,    14,Finish(1), after,   3,   1,   0,   1,   1
     193.949,    15,Finish(2),before,   2,   1,   0,   1,   1
     193.949,    15,Finish(2), after,   2,   1,   0,   1,   0
     206.073,    16,Finish(1),before,   1,   1,   0,   1,   0
     206.073,    16,Finish(1), after,   3,   0,   0,   1,   1
     220.419,    18,Finish(1),before,   2,   0,   0,   1,   1
     220.419,    18,Finish(1), after,   2,   0,   1,   0,   1
     242.870,    17,Finish(2),before,   1,   0,   1,   0,   1
