# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:00
# parameter: seed = 27
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,28.982437734906394,Inf
2,48.53831254438808,48.53831254438808,83.24266478976656,Inf
3,126.09593646196328,126.09593646196328,150.04609437040753,Inf
4,170.35122249930777,170.35122249930777,192.12534136862183,Inf
5,240.33997857114633,240.33997857114633,258.7357122152628,Inf
6,240.48579947030686,258.7357122152628,391.45906051846396,Inf
7,281.9799517116643,301.1696595289867,432.438930531743,Inf
8,365.5926863529388,365.5926863529388,444.6625790512124,Inf
9,374.17324728884927,383.0994868354944,483.65628343445366,Inf
10,516.0657045641611,516.0657045641611,537.3434160390066,Inf
11,558.8379568150311,558.8379568150311,578.1887650848182,Inf
12,645.3409967798038,645.3409967798038,668.7273449441675,Inf
13,679.1766819224255,679.1766819224255,700.4351966328506,Inf
14,693.5060297814197,700.4351966328506,726.7214514441893,Inf
15,899.4257169680886,899.4257169680886,933.9799136903312,Inf
16,969.8144469700887,969.8144469700887,996.1878202967071,Inf
17,1013.2007068851414,1013.2007068851414,1108.0102467330541,Inf
18,1040.3191681167561,1040.3191681167561,1129.3226478466163,Inf
19,1052.4534736450819,1053.400979313212,1137.098073216665,Inf
20,1206.4123613137076,1206.4123613137076,1217.1805629951514,Inf
21,1260.1590669951504,1260.1590669951504,1285.7299572432212,Inf
22,1266.6290812597995,1285.7299572432212,1363.7325030147113,Inf
23,1335.3907262699358,1335.3907262699358,1426.669052970219,Inf
24,1388.7431695406653,1388.7431695406653,1512.9653085456896,Inf
25,1426.97478301371,1426.97478301371,1547.6069924742892,Inf
26,1542.4660194840665,1542.4660194840665,1594.1907896433604,Inf
27,1560.3813514813926,1577.0156775778605,1608.6592749892457,Inf
28,1574.6357413076257,1605.8491771687497,1631.1141843057192,Inf
29,1617.9673273894675,1631.1141843057192,1710.6218709657835,Inf
30,1670.8406960965694,1670.8406960965694,1771.4628207644946,Inf
31,1741.5434027165088,1741.5434027165088,1852.4048772886526,Inf
32,1770.8468885083532,1770.8468885083532,1864.5296051987648,Inf
33,1984.3937385610388,1984.3937385610388,2090.382736682708,Inf
34,2081.5825501166664,2081.5825501166664,2130.437401744713,Inf
35,2181.8366312793923,2181.8366312793923,2213.756111473228,Inf
36,2193.290706926365,2213.756111473228,2238.286466575494,Inf
