# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:06
# parameter: seed = 70
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      30.866,     3,Finish(1),before,   1,   0,   0,   1,   0
      30.866,     3,Finish(1), after,   2,   0,   0,   0,   1
      34.238,     2,  Arrival,before,   1,   0,   0,   0,   1
      34.238,     2,  Arrival, after,   3,   0,   0,   1,   1
      37.292,     5,  Arrival,before,   2,   0,   0,   1,   1
      37.292,     5,  Arrival, after,   3,   1,   0,   1,   1
      40.013,     7,  Arrival,before,   2,   1,   0,   1,   1
      40.013,     7,  Arrival, after,   3,   2,   0,   1,   1
      62.157,     6,Finish(1),before,   2,   2,   0,   1,   1
      62.157,     6,Finish(1), after,   3,   1,   1,   1,   1
      78.116,     4,Finish(2),before,   2,   1,   1,   1,   1
      78.116,     4,Finish(2), after,   3,   1,   0,   1,   1
      84.180,     9,Finish(1),before,   2,   1,   0,   1,   1
      84.180,     9,Finish(1), after,   3,   0,   1,   1,   1
      86.689,     8,  Arrival,before,   2,   0,   1,   1,   1
      86.689,     8,  Arrival, after,   3,   1,   1,   1,   1
     109.478,    12,  Arrival,before,   2,   1,   1,   1,   1
     109.478,    12,  Arrival, after,   3,   2,   1,   1,   1
     110.593,    11,Finish(1),before,   2,   2,   1,   1,   1
     110.593,    11,Finish(1), after,   3,   1,   2,   1,   1
     114.024,    10,Finish(2),before,   2,   1,   2,   1,   1
     114.024,    10,Finish(2), after,   3,   1,   1,   1,   1
     124.252,    14,Finish(1),before,   2,   1,   1,   1,   1
     124.252,    14,Finish(1), after,   3,   0,   2,   1,   1
     161.545,    16,Finish(1),before,   2,   0,   2,   1,   1
     161.545,    16,Finish(1), after,   2,   0,   3,   0,   1
     250.363,    15,Finish(2),before,   1,   0,   3,   0,   1
     250.363,    15,Finish(2), after,   2,   0,   2,   0,   1
     264.683,    17,Finish(2),before,   1,   0,   2,   0,   1
     264.683,    17,Finish(2), after,   2,   0,   1,   0,   1
     268.817,    18,Finish(2),before,   1,   0,   1,   0,   1
