# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:09
# parameter: seed = 96
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      15.610,     3,Finish(1),before,   1,   0,   0,   1,   0
      15.610,     3,Finish(1), after,   2,   0,   0,   0,   1
      42.305,     2,  Arrival,before,   1,   0,   0,   0,   1
      42.305,     2,  Arrival, after,   3,   0,   0,   1,   1
      48.956,     5,  Arrival,before,   2,   0,   0,   1,   1
      48.956,     5,  Arrival, after,   3,   1,   0,   1,   1
      52.888,     4,Finish(2),before,   2,   1,   0,   1,   1
      52.888,     4,Finish(2), after,   2,   1,   0,   1,   0
      60.901,     6,Finish(1),before,   1,   1,   0,   1,   0
      60.901,     6,Finish(1), after,   3,   0,   0,   1,   1
      64.880,     7,  Arrival,before,   2,   0,   0,   1,   1
      64.880,     7,  Arrival, after,   3,   1,   0,   1,   1
      85.908,    10,  Arrival,before,   2,   1,   0,   1,   1
      85.908,    10,  Arrival, after,   3,   2,   0,   1,   1
      95.222,     9,Finish(1),before,   2,   2,   0,   1,   1
      95.222,     9,Finish(1), after,   3,   1,   1,   1,   1
     105.113,    11,  Arrival,before,   2,   1,   1,   1,   1
     105.113,    11,  Arrival, after,   3,   2,   1,   1,   1
     116.566,    12,Finish(1),before,   2,   2,   1,   1,   1
     116.566,    12,Finish(1), after,   3,   1,   2,   1,   1
     135.902,     8,Finish(2),before,   2,   1,   2,   1,   1
     135.902,     8,Finish(2), after,   3,   1,   1,   1,   1
     143.260,    14,Finish(1),before,   2,   1,   1,   1,   1
     143.260,    14,Finish(1), after,   3,   0,   2,   1,   1
     162.812,    16,Finish(1),before,   2,   0,   2,   1,   1
     162.812,    16,Finish(1), after,   2,   0,   3,   0,   1
     171.407,    13,  Arrival,before,   1,   0,   3,   0,   1
     171.407,    13,  Arrival, after,   3,   0,   3,   1,   1
     198.865,    18,Finish(1),before,   2,   0,   3,   1,   1
     198.865,    18,Finish(1), after,   2,   0,   4,   0,   1
     211.988,    15,Finish(2),before,   1,   0,   4,   0,   1
