# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:40:58
# parameter: seed = 14
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      31.980,     3,Finish(1),before,   1,   0,   0,   1,   0
      31.980,     3,Finish(1), after,   2,   0,   0,   0,   1
      52.424,     4,Finish(2),before,   1,   0,   0,   0,   1
      52.424,     4,Finish(2), after,   1,   0,   0,   0,   0
     122.432,     2,  Arrival,before,   0,   0,   0,   0,   0
     122.432,     2,  Arrival, after,   2,   0,   0,   1,   0
     148.600,     5,  Arrival,before,   1,   0,   0,   1,   0
     148.600,     5,  Arrival, after,   2,   1,   0,   1,   0
     151.397,     6,Finish(1),before,   1,   1,   0,   1,   0
     151.397,     6,Finish(1), after,   3,   0,   0,   1,   1
     171.089,     9,Finish(1),before,   2,   0,   0,   1,   1
     171.089,     9,Finish(1), after,   2,   0,   1,   0,   1
     189.903,     7,  Arrival,before,   1,   0,   1,   0,   1
     189.903,     7,  Arrival, after,   3,   0,   1,   1,   1
     219.515,    11,Finish(1),before,   2,   0,   1,   1,   1
     219.515,    11,Finish(1), after,   2,   0,   2,   0,   1
     229.083,    10,  Arrival,before,   1,   0,   2,   0,   1
     229.083,    10,  Arrival, after,   3,   0,   2,   1,   1
     229.855,    12,  Arrival,before,   2,   0,   2,   1,   1
     229.855,    12,  Arrival, after,   3,   1,   2,   1,   1
     238.462,     8,Finish(2),before,   2,   1,   2,   1,   1
     238.462,     8,Finish(2), after,   3,   1,   1,   1,   1
     256.491,    13,Finish(1),before,   2,   1,   1,   1,   1
     256.491,    13,Finish(1), after,   3,   0,   2,   1,   1
     262.787,    15,Finish(2),before,   2,   0,   2,   1,   1
     262.787,    15,Finish(2), after,   3,   0,   1,   1,   1
     278.761,    16,Finish(1),before,   2,   0,   1,   1,   1
     278.761,    16,Finish(1), after,   2,   0,   2,   0,   1
     296.835,    14,  Arrival,before,   1,   0,   2,   0,   1
     296.835,    14,  Arrival, after,   3,   0,   2,   1,   1
     302.724,    18,  Arrival,before,   2,   0,   2,   1,   1
