# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:07
# parameter: seed = 78
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      24.653,     3,Finish(1),before,   1,   0,   0,   1,   0
      24.653,     3,Finish(1), after,   2,   0,   0,   0,   1
      50.271,     2,  Arrival,before,   1,   0,   0,   0,   1
      50.271,     2,  Arrival, after,   3,   0,   0,   1,   1
      51.875,     4,Finish(2),before,   2,   0,   0,   1,   1
      51.875,     4,Finish(2), after,   2,   0,   0,   1,   0
      64.761,     6,Finish(1),before,   1,   0,   0,   1,   0
      64.761,     6,Finish(1), after,   2,   0,   0,   0,   1
     118.214,     7,Finish(2),before,   1,   0,   0,   0,   1
     118.214,     7,Finish(2), after,   1,   0,   0,   0,   0
     126.627,     5,  Arrival,before,   0,   0,   0,   0,   0
     126.627,     5,  Arrival, after,   2,   0,   0,   1,   0
     154.269,     9,Finish(1),before,   1,   0,   0,   1,   0
     154.269,     9,Finish(1), after,   2,   0,   0,   0,   1
     172.669,     8,  Arrival,before,   1,   0,   0,   0,   1
     172.669,     8,  Arrival, after,   3,   0,   0,   1,   1
     181.246,    10,Finish(2),before,   2,   0,   0,   1,   1
     181.246,    10,Finish(2), after,   2,   0,   0,   1,   0
     189.647,    11,  Arrival,before,   1,   0,   0,   1,   0
     189.647,    11,  Arrival, after,   2,   1,   0,   1,   0
     199.182,    12,Finish(1),before,   1,   1,   0,   1,   0
     199.182,    12,Finish(1), after,   3,   0,   0,   1,   1
     225.902,    15,Finish(1),before,   2,   0,   0,   1,   1
     225.902,    15,Finish(1), after,   2,   0,   1,   0,   1
     263.470,    13,  Arrival,before,   1,   0,   1,   0,   1
     263.470,    13,  Arrival, after,   3,   0,   1,   1,   1
     290.917,    16,  Arrival,before,   2,   0,   1,   1,   1
     290.917,    16,  Arrival, after,   3,   1,   1,   1,   1
     296.696,    14,Finish(2),before,   2,   1,   1,   1,   1
     296.696,    14,Finish(2), after,   3,   1,   0,   1,   1
     297.267,    17,Finish(1),before,   2,   1,   0,   1,   1
