# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:05
# parameter: seed = 61
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      28.281,     3,Finish(1),before,   1,   0,   0,   1,   0
      28.281,     3,Finish(1), after,   2,   0,   0,   0,   1
      32.225,     4,Finish(2),before,   1,   0,   0,   0,   1
      32.225,     4,Finish(2), after,   1,   0,   0,   0,   0
      75.213,     2,  Arrival,before,   0,   0,   0,   0,   0
      75.213,     2,  Arrival, after,   2,   0,   0,   1,   0
      93.657,     6,Finish(1),before,   1,   0,   0,   1,   0
      93.657,     6,Finish(1), after,   2,   0,   0,   0,   1
      98.294,     7,Finish(2),before,   1,   0,   0,   0,   1
      98.294,     7,Finish(2), after,   1,   0,   0,   0,   0
     131.501,     5,  Arrival,before,   0,   0,   0,   0,   0
     131.501,     5,  Arrival, after,   2,   0,   0,   1,   0
     157.358,     9,Finish(1),before,   1,   0,   0,   1,   0
     157.358,     9,Finish(1), after,   2,   0,   0,   0,   1
     204.192,    10,Finish(2),before,   1,   0,   0,   0,   1
     204.192,    10,Finish(2), after,   1,   0,   0,   0,   0
     247.437,     8,  Arrival,before,   0,   0,   0,   0,   0
     247.437,     8,  Arrival, after,   2,   0,   0,   1,   0
     277.125,    12,Finish(1),before,   1,   0,   0,   1,   0
     277.125,    12,Finish(1), after,   2,   0,   0,   0,   1
     316.426,    13,Finish(2),before,   1,   0,   0,   0,   1
     316.426,    13,Finish(2), after,   1,   0,   0,   0,   0
     395.910,    11,  Arrival,before,   0,   0,   0,   0,   0
     395.910,    11,  Arrival, after,   2,   0,   0,   1,   0
     425.267,    15,Finish(1),before,   1,   0,   0,   1,   0
     425.267,    15,Finish(1), after,   2,   0,   0,   0,   1
     450.146,    16,Finish(2),before,   1,   0,   0,   0,   1
     450.146,    16,Finish(2), after,   1,   0,   0,   0,   0
     483.960,    14,  Arrival,before,   0,   0,   0,   0,   0
     483.960,    14,  Arrival, after,   2,   0,   0,   1,   0
     518.314,    18,Finish(1),before,   1,   0,   0,   1,   0
