# file created by code in factory_simulation_2.jl
# file created on 2024-10-25 at 23:41:02
# parameter: seed = 43
# parameter: T = 100000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 7.18, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      23.735,     3,Finish(1),before,   1,   0,   0,   1,   0
      23.735,     3,Finish(1), after,   2,   0,   0,   0,   1
      56.531,     4,Finish(2),before,   1,   0,   0,   0,   1
      56.531,     4,Finish(2), after,   1,   0,   0,   0,   0
      88.084,     2,  Arrival,before,   0,   0,   0,   0,   0
      88.084,     2,  Arrival, after,   2,   0,   0,   1,   0
     122.447,     6,Finish(1),before,   1,   0,   0,   1,   0
     122.447,     6,Finish(1), after,   2,   0,   0,   0,   1
     142.699,     5,  Arrival,before,   1,   0,   0,   0,   1
     142.699,     5,  Arrival, after,   3,   0,   0,   1,   1
     145.008,     7,Finish(2),before,   2,   0,   0,   1,   1
     145.008,     7,Finish(2), after,   2,   0,   0,   1,   0
     166.865,     9,Finish(1),before,   1,   0,   0,   1,   0
     166.865,     9,Finish(1), after,   2,   0,   0,   0,   1
     181.770,     8,  Arrival,before,   1,   0,   0,   0,   1
     181.770,     8,  Arrival, after,   3,   0,   0,   1,   1
     210.904,    12,Finish(1),before,   2,   0,   0,   1,   1
     210.904,    12,Finish(1), after,   2,   0,   1,   0,   1
     243.109,    10,Finish(2),before,   1,   0,   1,   0,   1
     243.109,    10,Finish(2), after,   2,   0,   0,   0,   1
     330.843,    13,Finish(2),before,   1,   0,   0,   0,   1
     330.843,    13,Finish(2), after,   1,   0,   0,   0,   0
     433.085,    11,  Arrival,before,   0,   0,   0,   0,   0
     433.085,    11,  Arrival, after,   2,   0,   0,   1,   0
     444.489,    14,  Arrival,before,   1,   0,   0,   1,   0
     444.489,    14,  Arrival, after,   2,   1,   0,   1,   0
     454.235,    15,Finish(1),before,   1,   1,   0,   1,   0
     454.235,    15,Finish(1), after,   3,   0,   0,   1,   1
     459.236,    16,  Arrival,before,   2,   0,   0,   1,   1
     459.236,    16,  Arrival, after,   3,   1,   0,   1,   1
     468.423,    18,Finish(1),before,   2,   1,   0,   1,   1
